Date,S&P U.S. Dollar Global High Yield Corporate Bond Index
2/1/21,759.08
2/2/21,760.23
2/3/21,760.94
2/4/21,762.16
2/5/21,762.96
2/8/21,763.75
2/9/21,764.36
2/10/21,764.92
2/11/21,765.23
2/12/21,764.96
2/16/21,765.19
2/17/21,765.23
2/18/21,765.41
2/19/21,765.11
2/22/21,764.19
2/23/21,763.63
2/24/21,763.77
2/25/21,760.9
2/26/21,760.88
3/1/21,761.85
3/2/21,762.48
3/3/21,761.76
3/4/21,760.22
3/5/21,758.55
3/8/21,756.88
3/9/21,756.45
3/10/21,756.66
3/11/21,758.68
3/12/21,757.47
3/15/21,757.61
3/16/21,758.03
3/17/21,756.97
3/18/21,755.5
3/19/21,755.55
3/22/21,757.1
3/23/21,757.88
3/24/21,758.44
3/25/21,758.14
3/26/21,757.96
3/29/21,758.28
3/30/21,758.05
3/31/21,759.12
4/1/21,760.81
4/2/21,760.66
4/5/21,762.11
4/6/21,763.46
4/7/21,764.09
4/8/21,765
4/9/21,764.87
4/12/21,764.61
4/13/21,764.16
4/14/21,764.61
4/15/21,765.95
4/16/21,766.39
4/19/21,766.52
4/20/21,765.83
4/21/21,765.8
4/22/21,766.31
4/23/21,766.75
4/26/21,767.21
4/27/21,767.07
4/28/21,767.04
4/29/21,767.54
4/30/21,767.97
5/3/21,768.64
5/4/21,768.78
5/5/21,769.39
5/6/21,769.81
5/7/21,770.57
5/10/21,771.07
5/11/21,769.6
5/12/21,768.51
5/13/21,768.26
5/14/21,769.2
5/17/21,769.54
5/18/21,769.37
5/19/21,767.98
5/20/21,768.49
5/21/21,769.14
5/24/21,769.91
5/25/21,770.7
5/26/21,771.36
5/27/21,771.38
5/28/21,771.8
6/1/21,772.27
6/2/21,773.07
6/3/21,772.68
6/4/21,773.5
6/7/21,774.07
6/8/21,775.19
6/9/21,776.31
6/10/21,776.71
6/11/21,777.19
6/14/21,777.41
6/15/21,777.09
6/16/21,776.93
6/17/21,776.66
6/18/21,777.07
6/21/21,777.24
6/22/21,777.29
6/23/21,777.41
6/24/21,777.91
6/25/21,778.25
6/28/21,779.06
6/29/21,779.39
6/30/21,780.03
7/1/21,780.58
7/2/21,781.18
7/6/21,781.55
7/7/21,782.45
7/8/21,781.82
7/9/21,781.97
7/12/21,782.61
7/13/21,782.4
7/14/21,782.67
7/15/21,782.37
7/16/21,782.16
7/19/21,779.33
7/20/21,779.43
7/21/21,780.11
7/22/21,780.73
7/23/21,780.95
7/26/21,780.89
7/27/21,779.88
7/28/21,779.57
7/29/21,779.39
7/30/21,779.31
8/2/21,780
8/3/21,779.69
8/4/21,779.66
8/5/21,779.2
8/6/21,778.75
8/9/21,778.21
8/10/21,778.08
8/11/21,778.23
8/12/21,778.29
8/13/21,778.92
8/16/21,779.19
8/17/21,778.61
8/18/21,778.77
8/19/21,777.64
8/20/21,777.82
8/23/21,778.82
8/24/21,779.76
8/25/21,780.44
8/26/21,780.87
8/27/21,782
8/30/21,783.67
8/31/21,784.19
9/1/21,784.08
9/2/21,784.6
9/3/21,784.1
9/7/21,783.94
9/8/21,784.07
9/9/21,784.69
9/10/21,785.18
9/13/21,785.97
9/14/21,786.33
9/15/21,786.29
9/16/21,785.49
9/17/21,784.81
9/20/21,782.4
9/21/21,782.77
9/22/21,783.81
9/23/21,783.74
9/24/21,782.66
9/27/21,781.83
9/28/21,779.65
9/29/21,779.72
9/30/21,779.54
10/1/21,779.49
10/4/21,778.74
10/5/21,777.54
10/6/21,775.19
10/7/21,775.12
10/8/21,773.64
10/12/21,770.92
10/13/21,770.76
10/14/21,772.26
10/15/21,773.32
10/18/21,774.11
10/19/21,774.33
10/20/21,774.76
10/21/21,773.93
10/22/21,773.42
10/25/21,773.3
10/26/21,773.63
10/27/21,774.12
10/28/21,773.7
10/29/21,773.27
11/1/21,771.76
11/2/21,771.35
11/3/21,771.21
11/4/21,771.9
11/5/21,773.91
11/8/21,773.99
11/9/21,773.51
11/10/21,772.35
11/12/21,774.16
11/15/21,773.84
11/16/21,772.65
11/17/21,772.34
11/18/21,772.55
11/19/21,772.53
11/22/21,771.89
11/23/21,769.21
11/24/21,767.5
11/26/21,764.23
11/29/21,764.17
11/30/21,764.09
12/1/21,765.63
12/2/21,765.43
12/3/21,766.76
12/6/21,768.08
12/7/21,772.06
12/8/21,772.09
12/9/21,772.13
12/10/21,772.23
12/13/21,772.75
12/14/21,771.61
12/15/21,770.83
12/16/21,772.01
12/17/21,771.71
12/20/21,770.53
12/21/21,771.61
12/22/21,772.71
12/23/21,773.47
12/27/21,774.88
12/28/21,775.68
12/29/21,775.55
12/30/21,775.88
12/31/21,775.89
1/3/22,775.3
1/4/22,774.06
1/5/22,772.67
1/6/22,769.82
1/7/22,768.04
1/10/22,765.96
1/11/22,766.75
1/12/22,767.79
1/13/22,767.24
1/14/22,764.83
1/18/22,761.3
1/19/22,762.92
