Date,S&P 500 Investment Grade Corporate Bond Index
2/1/21,496.69
2/2/21,495.6
2/3/21,494.35
2/4/21,494.35
2/5/21,493.49
2/8/21,494.44
2/9/21,494.98
2/10/21,496.09
2/11/21,495.38
2/12/21,493.37
2/16/21,491
2/17/21,492.24
2/18/21,492.39
2/19/21,490.23
2/22/21,488.27
2/23/21,487.28
2/24/21,486.14
2/25/21,481.42
2/26/21,487.53
3/1/21,486.16
3/2/21,486.51
3/3/21,484.3
3/4/21,482.51
3/5/21,480.64
3/8/21,478.74
3/9/21,479.94
3/10/21,480.94
3/11/21,480.97
3/12/21,477.58
3/15/21,478.23
3/16/21,477.93
3/17/21,477
3/18/21,475.2
3/19/21,476.17
3/22/21,477.84
3/23/21,479.57
3/24/21,480.17
3/25/21,479.23
3/26/21,478.42
3/29/21,477.54
3/30/21,478.33
3/31/21,478.84
4/1/21,481.83
4/2/21,480.67
4/5/21,481.42
4/6/21,482.91
4/7/21,482.13
4/8/21,483.62
4/9/21,482.84
4/12/21,482.85
4/13/21,484.08
4/14/21,484.07
4/15/21,486.52
4/16/21,485.1
4/19/21,484.23
4/20/21,484.78
4/21/21,485.24
4/22/21,485.93
4/23/21,485.73
4/26/21,485.83
4/27/21,484.32
4/28/21,484.63
4/29/21,484.01
4/30/21,484.59
5/3/21,484.99
5/4/21,485.76
5/5/21,486.32
5/6/21,486.77
5/7/21,486.64
5/10/21,485.28
5/11/21,484.07
5/12/21,481.78
5/13/21,482.35
5/14/21,484.27
5/17/21,484.21
5/18/21,483.98
5/19/21,482.95
5/20/21,484.63
5/21/21,485.24
5/24/21,486.14
5/25/21,488.13
5/26/21,488
5/27/21,487.58
5/28/21,487.26
6/1/21,486.95
6/2/21,487.67
6/3/21,486.7
6/4/21,489.01
6/7/21,488.69
6/8/21,490.02
6/9/21,491.75
6/10/21,493.23
6/11/21,493.01
6/14/21,491.76
6/15/21,491.76
6/16/21,490.69
6/17/21,492.86
6/18/21,496.05
6/21/21,493.8
6/22/21,494.26
6/23/21,493.58
6/24/21,493.71
6/25/21,493.2
6/28/21,494.67
6/29/21,495.18
6/30/21,495.9
7/1/21,495.61
7/2/21,496.68
7/6/21,498.27
7/7/21,500.31
7/8/21,500.66
7/9/21,498.06
7/12/21,497.9
7/13/21,496.48
7/14/21,498.65
7/15/21,500.32
7/16/21,499.91
7/19/21,502.72
7/20/21,501.23
7/21/21,499.54
7/22/21,501.26
7/23/21,500.46
7/26/21,500.22
7/27/21,502.09
7/28/21,502.66
7/29/21,501.56
7/30/21,502.69
